Timestamp;Suspension1;Suspension2;Suspension3;Suspension4;Steering;RPM_FrontRight;RPM_FrontLeft;RPM_RearRight;RPM_RearLeft;SUS1MM;SUS2MM;SUS3MM;SUS4MM;index
05/02/2025 11:37;11810;11553;11665;10426;12788;0;0;0;0;42.80763601;43.57541899;43.24082096;46.94231171;79
05/02/2025 11:37;11808;11548;11665;10423;12791;0;0;0;0;42.81361097;43.59035641;43.24082096;46.95127416;80
05/02/2025 11:37;11813;11547;11667;10425;12790;0;0;0;0;42.79867356;43.59334389;43.234846;46.9452992;81
05/02/2025 11:37;11809;11541;11665;10422;12790;0;0;0;0;42.81062349;43.61126878;43.24082096;46.95426164;82
05/02/2025 11:37;11813;11545;11668;10425;12789;0;0;0;0;42.79867356;43.59931885;43.23185851;46.9452992;83
05/02/2025 11:37;11810;11542;11666;10422;12791;0;0;0;0;42.80763601;43.6082813;43.23783348;46.95426164;84
05/02/2025 11:37;11812;11539;11669;10422;12789;0;0;0;0;42.80166104;43.61724375;43.22887103;46.95426164;85
05/02/2025 11:37;11811;11543;11673;10423;12792;0;0;0;0;42.80464852;43.60529382;43.2169211;46.95127416;86
05/02/2025 11:37;11809;11542;11668;10424;12789;0;0;0;0;42.81062349;43.6082813;43.23185851;46.94828668;87
05/02/2025 11:37;11810;11543;11667;10423;12792;0;0;0;0;42.80763601;43.60529382;43.234846;46.95127416;88
05/02/2025 11:37;11811;11543;11667;10419;12792;0;0;0;0;42.80464852;43.60529382;43.234846;46.96322409;89
05/02/2025 11:37;11810;11538;11671;10420;12792;0;0;0;0;42.80763601;43.62023123;43.22289607;46.96023661;90
05/02/2025 11:37;11812;11549;11669;10419;12793;0;0;0;0;42.80166104;43.58736892;43.22887103;46.96322409;91
05/02/2025 11:37;11811;11538;11670;10421;12792;0;0;0;0;42.80464852;43.62023123;43.22588355;46.95724913;92
05/02/2025 11:37;11811;11548;11667;10419;12793;0;0;0;0;42.80464852;43.59035641;43.234846;46.96322409;93
05/02/2025 11:37;11811;11545;11670;10421;12792;0;0;0;0;42.80464852;43.59931885;43.22588355;46.95724913;94
05/02/2025 11:37;11811;11540;11667;10420;12793;0;0;0;0;42.80464852;43.61425627;43.234846;46.96023661;95
05/02/2025 11:37;11811;11538;11670;10421;12794;0;0;0;0;42.80464852;43.62023123;43.22588355;46.95724913;96
05/02/2025 11:37;11812;11545;11668;10419;12793;0;0;0;0;42.80166104;43.59931885;43.23185851;46.96322409;97
05/02/2025 11:37;11808;11545;11668;10421;12792;0;0;0;0;42.81361097;43.59931885;43.23185851;46.95724913;98
05/02/2025 11:37;11809;11550;11668;10424;12792;0;0;0;0;42.81062349;43.58438144;43.23185851;46.94828668;99
05/02/2025 11:37;11805;11549;11670;10420;12793;0;0;0;0;42.82257342;43.58736892;43.22588355;46.96023661;100
05/02/2025 11:37;11810;11542;11672;10420;12793;0;0;0;0;42.80763601;43.6082813;43.21990858;46.96023661;101
05/02/2025 11:37;11812;11550;11667;10419;12793;0;0;0;0;42.80166104;43.58438144;43.234846;46.96322409;102
05/02/2025 11:37;11809;11547;11668;10422;12789;0;0;0;0;42.81062349;43.59334389;43.23185851;46.95426164;103
05/02/2025 11:37;11807;11556;11667;10424;12793;0;0;0;0;42.81659845;43.56645655;43.234846;46.94828668;104
05/02/2025 11:37;11805;11550;11666;10423;12790;0;0;0;0;42.82257342;43.58438144;43.23783348;46.95127416;105
05/02/2025 11:37;11809;11555;11667;10425;12790;0;0;0;0;42.81062349;43.56944403;43.234846;46.9452992;106
05/02/2025 11:37;11809;11542;11667;10425;12791;0;0;0;0;42.81062349;43.6082813;43.234846;46.9452992;107
05/02/2025 11:37;11812;11548;11667;10425;12793;0;0;0;0;42.80166104;43.59035641;43.234846;46.9452992;108
05/02/2025 11:37;11810;11541;11667;10422;12791;0;0;0;0;42.80763601;43.61126878;43.234846;46.95426164;109
05/02/2025 11:37;11814;11544;11668;10423;12792;0;0;0;0;42.79568608;43.60230634;43.23185851;46.95127416;110
05/02/2025 11:37;11810;11539;11667;10422;12793;0;0;0;0;42.80763601;43.61724375;43.234846;46.95426164;111
05/02/2025 11:37;11810;11547;11668;10421;12790;0;0;0;0;42.80763601;43.59334389;43.23185851;46.95724913;112
05/02/2025 11:37;11811;11537;11669;10420;12791;0;0;0;0;42.80464852;43.62321871;43.22887103;46.96023661;113
05/02/2025 11:37;11811;11545;11669;10423;12791;0;0;0;0;42.80464852;43.59931885;43.22887103;46.95127416;114
05/02/2025 11:37;11810;11540;11666;10421;12792;0;0;0;0;42.80763601;43.61425627;43.23783348;46.95724913;115
05/02/2025 11:37;11809;11545;11669;10422;12793;0;0;0;0;42.81062349;43.59931885;43.22887103;46.95426164;116
